sample_id,result_dir,mask_ratio,method,layer,n,rmse,mae,cos,pearson_r
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,gt_positive,275983,0.23468705342554688,0.08470590114214903,0.6598519758505313,0.6324648856805666
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,gt_positive,264068,0.2250886097033173,0.07858108152119078,0.6726822629712605,0.64954593161795
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,379565,0.1691783201013081,0.05614541654647222,0.8387728651182729,0.8245991960748945
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,254185,0.1700647502316083,0.057667064190735993,0.84952497345977,0.8363932375503306
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,530884,0.1807442249081387,0.05726613979691495,0.8123880258178457,0.7977388326890587
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,319430,0.17648002087808154,0.06089233004893876,0.840726494695404,0.8259571100404244
151673,seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,293387,0.1981729885993232,0.06715248097501889,0.7455713874164313,0.7245144879502017
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,770276,0.18993263771447733,0.05847177093531446,0.7017582940459055,0.6795264894719377
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,229563,0.18311951906639504,0.05998355571117934,0.746021870726306,0.7287182281272429
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,gt_positive,318555,0.1797860070579632,0.05877342750469566,0.750403990056424,0.7309647182397466
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,gt_positive,290775,0.1958123480124474,0.055705919317738134,0.6420100953837047,0.6230359898237972
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,gt_positive,248539,0.19053384047612307,0.05325315023906986,0.6649819054444946,0.6485251003019588
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,gt_positive,275983,0.21484908789438104,0.0679793150603435,0.6275680161077677,0.6024474530970492
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Spatial IDW,gt_positive,264068,0.2041094070295026,0.06202641096918,0.6554087749387622,0.6344086370583079
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,379565,0.17984208731765977,0.05003671886497768,0.7403388981742192,0.7228549470039893
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,254185,0.1708180734793939,0.04686845918160739,0.7875912088611612,0.7723889104813754
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,530884,0.18923832775454308,0.050663011574170545,0.7009326079118088,0.68337481059633
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,319430,0.18254291292136748,0.0521469000689144,0.755257260105665,0.7374862666291321
151673,seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,293387,0.1868262529985375,0.055099340480141666,0.6805941754819574,0.6594667147458503
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,Spatial IDW,gt_positive,770276,0.1864403076039252,0.051497284551082996,0.5959273823415965,0.5736319973704721
